Project: 8052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description: VIP Liner Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,ECS 
,COMP  ,0,0,0,0,0,1791,,,,,,,,,,,,,,,,,,,,,,,0,1791,0,-1791,COMP  
,ENG   ,0,1202,115620,164067,942,32417,34.41,150,,,,,,,,,,,,,,,,,,,,,5,32567,1197,83053,ENG   
,LAYUP ,0,72,5055,5466,36,520,14.44,,,,,,,,,,,,,,,,,,,,,,0,520,72,4535,LAYUP 
,PROD  ,0,193,14168,21865,332,4867,14.66,105,,,,,,,,,,,,,,,,,,,,,7,4972,186,9196,PROD  
,QUAL  ,0,30,2199,3143,19,329,17.32,,,,,,,,,,,,,,,,,,,,,,0,329,30,1870,QUAL  
,RAW   ,0,0,27600,38170,0,45534,,,,,,,,,,,,,,,,,,,,,,,0,45534,0,-17934,RAW   
,REVE  ,0,0,7869,9269,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7869,REVE  
,STORES,0,23,1594,2171,27,440,16.3,120,,,,,,,,,,,,,,,,,,,,,8,560,15,1034,STORES
,TOOLM ,0,0,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,0,10,0,-10,TOOLM 
,,,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
,,Phase ECS Total,1520,174105,244151,1356,85908,28.45,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,86283,1500,87822,Total Phase ECS
,,Phase ECS Margin,Budg Gr. Marg.,Budg Gr. Marg. %,Act Gr. Marg.,Act Gr. Marg.%,,,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,% Complete,,,,,
,,,70046,28.69,158243,64.81,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phase: FLOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Group,Budg Rate,Budg Hours,Budg Dollars,Revenue,Act Hours,Act Dollars,Act Rate,2018_05,2018_06,2018_07,2018_08,2018_09,2018_10,2018_11,2018_12,2019_01,2019_02,2019_03,2019_04,2019_05,2019_06,2019_07,2019_08,2019_09,2019_10,2019_11,2019_12,Forward,EAC Hours,EAC Dollars,Budg Hrs Var,Budg $ Var,FLOR
